[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 42, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 373, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4551 RX          42688 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 43, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 385, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4662 RX          44080 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 44, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 399, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4773 RX          45704 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 45, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 412, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4884 RX          47212 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 47, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 425, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5106 RX          48720 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 48, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 438, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5217 RX          50228 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 49, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 451, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5328 RX          51736 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 50, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 464, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5439 RX          53244 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 52, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 477, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5661 RX          54752 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 53, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 490, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5772 RX          56260 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 54, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 504, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           5883 RX          57884 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 56, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 516, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6105 RX          59276 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 57, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 529, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6216 RX          60784 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 58, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 543, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6327 RX          62408 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 59, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 556, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6438 RX          63916 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 61, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 569, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6660 RX          65424 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 62, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 581, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6771 RX          66816 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 63, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 595, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           6882 RX          68324 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 65, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 608, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7104 RX          69948 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 66, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 622, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7215 RX          71456 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 67, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 635, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7326 RX          73080 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 68, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 647, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7437 RX          74472 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 70, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 660, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7659 RX          75980 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 71, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 674, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7770 RX          77604 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 72, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 687, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           7881 RX          79112 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 74, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 700, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8103 RX          80620 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 75, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 713, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8214 RX          82128 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 76, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 726, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8325 RX          83636 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 77, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 740, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8436 RX          85260 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 79, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 753, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8658 RX          86768 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 80, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 768, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8769 RX          88392 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 81, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 782, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8880 RX          89900 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 82, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 795, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           8991 RX          91640 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 84, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 809, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9213 RX          93148 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 85, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 822, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9324 RX          94772 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 86, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 835, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9435 RX          96280 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 88, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 847, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9657 RX          97672 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 89, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 861, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9768 RX          99180 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 90, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 874, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9879 RX         100804 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 91, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 888, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           9990 RX         102428 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 93, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 901, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10212 RX         103936 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 94, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 915, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10323 RX         105444 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 95, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 928, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10434 RX         107068 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 97, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 941, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10656 RX         108576 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 98, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 954, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10767 RX         110084 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 99, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 967, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10878 RX         111592 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 100, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 981, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          10989 RX         112984 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 102, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 994, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          11211 RX         114724 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 103, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1007, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
